"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"91",16,17,39,2020,"2020-08-22",77,49.5991666666667,-60.829,815,286,7,34.783,"NGSL","08",NA,2020-08-22,"47997",289.523590087891,3219.58886762677,1414.30145898506,14441.3808338063,"3C",19075.2711604181
"92",16,17,39,2020,"2020-08-23",80,49.472,-60.4216666666667,NA,296,NA,NA,"NGSL","08",NA,2020-08-23,"47745",294.553588867188,2868.37286116115,1343.06149015541,9750.97240238784,"3C",13962.4067537044
"93",16,17,39,2020,"2020-08-23",83,49.476,-59.805,812,253,6.97,34.666,"NGSL","08",NA,2020-08-23,"47752",227.907302856445,2870.01162638249,1384.20934496939,8585.84377824207,"3C",12840.064749594
"94",16,17,39,2020,"2020-08-24",86,49.0765,-60.331,815,277,6.94,34.88,"NGSL","08",NA,2020-08-24,"46552",262.629699707031,2832.109724237,1179.33865791089,6571.09153618141,"3C",10582.5399183293
"95",16,17,39,2020,"2020-08-24",89,48.7973333333333,-60.2878333333333,808,298,6.96,34.895,"NGSL","08",NA,2020-08-24,"45852",294.35791015625,2238.19339023137,924.749099111679,3681.4654432671,"3C",6844.40793261014
"96",16,17,39,2020,"2020-08-24",92,49.1063333333333,-59.7763333333333,809,297,7.1,34.904,"NGSL","08",NA,2020-08-24,"46559",297.768798828125,2176.87556951709,907.953791564751,3566.80167170184,"3C",6651.63103278368
"97",16,17,39,2020,"2020-08-26",95,49.7103333333333,-58.388,836,93,0.23,32.469,"NGSL","08",NA,2020-08-26,"48554",101.602096557617,1251.30799145085,708.424490634381,2793.50504385268,"3C",4753.23752593792
"98",16,17,39,2020,"2020-08-26",98,49.9418333333333,-58.5596666666667,813,206,6.21,34.296,"NGSL","08",NA,2020-08-26,"49097",197.516098022461,2991.32549520245,1464.87090287509,10176.7140837638,"3C",14632.9104818414
"99",16,17,39,2020,"2020-08-27",101,50.4636666666667,-57.8668333333333,813,247,6.44,34.494,"NGSL","08",NA,2020-08-27,"50828",241.672805786133,3236.02580530653,1841.25059277355,22504.4694555873,"3C",27581.7458536673
"100",16,17,39,2020,"2020-08-27",104,50.5558333333333,-57.5206666666667,823,144,1.99,32.96,"NGSL","08",NA,2020-08-27,"51029",139.147705078125,1666.76795295105,1200.07138484016,4769.80434876272,"3C",7636.64368655392
